x,q
1.76,"(np.float64(0.0), np.float64(0.08006768930946355), np.float64(0.008650301573676567))"
1.77,"(np.float64(0.0), np.float64(0.08112121153721966), np.float64(0.008764121331224943))"
1.78,"(np.float64(0.0), np.float64(0.08217473376497575), np.float64(0.00887794108877332))"
1.79,"(np.float64(0.0), np.float64(0.08322825599273186), np.float64(0.008991760846321696))"
1.8,"(np.float64(0.0), np.float64(0.08428177822048795), np.float64(0.009105580603870072))"
1.81,"(np.float64(0.0), np.float64(0.08533530044824406), np.float64(0.009219400361418448))"
1.8199999999999998,"(np.float64(0.0), np.float64(0.08638882267600013), np.float64(0.009333220118966822))"
1.83,"(np.float64(0.0), np.float64(0.08744234490375624), np.float64(0.009447039876515198))"
1.8399999999999999,"(np.float64(0.0), np.float64(0.08849586713151233), np.float64(0.009560859634063574))"
1.85,"(np.float64(0.0), np.float64(0.08954938935926844), np.float64(0.00967467939161195))"
1.8599999999999999,"(np.float64(0.0), np.float64(0.09060291158702453), np.float64(0.009788499149160326))"
1.87,"(np.float64(0.0), np.float64(0.09165643381478064), np.float64(0.009902318906708703))"
1.88,"(np.float64(0.0), np.float64(0.09270995604253675), np.float64(0.010016138664257079))"
1.8900000000000001,"(np.float64(0.0), np.float64(0.09376347827029284), np.float64(0.010129958421805455))"
1.9,"(np.float64(0.0), np.float64(0.09481700049804895), np.float64(0.01024377817935383))"
1.9100000000000001,"(np.float64(0.0), np.float64(0.09587052272580504), np.float64(0.010357597936902206))"
1.92,"(np.float64(0.0), np.float64(0.09692404495356115), np.float64(0.010471417694450582))"
1.9300000000000002,"(np.float64(0.0), np.float64(0.09797756718131724), np.float64(0.010585237451998958))"
1.94,"(np.float64(0.0), np.float64(0.09903108940907333), np.float64(0.010699057209547332))"
1.95,"(np.float64(0.0), np.float64(0.10008461163682943), np.float64(0.01081287696709571))"
1.96,"(np.float64(0.0), np.float64(0.10113813386458553), np.float64(0.010926696724644086))"
1.97,"(np.float64(0.0), np.float64(0.10219165609234163), np.float64(0.011040516482192462))"
1.98,"(np.float64(0.0), np.float64(0.10324517832009773), np.float64(0.011154336239740837))"
1.99,"(np.float64(0.0), np.float64(0.10429870054785383), np.float64(0.011268155997289213))"
2.0,"(np.float64(0.0), np.float64(0.10535222277560993), np.float64(0.011381975754837589))"
2.0,"(np.float64(0.0), np.float64(0.10535222277560993), np.float64(-0.08514065001394085))"
2.01,"(np.float64(0.0), np.float64(0.10429870054785383), np.float64(-0.08428924351380143))"
2.02,"(np.float64(0.0), np.float64(0.10324517832009773), np.float64(-0.08343783701366203))"
2.03,"(np.float64(0.0), np.float64(0.10219165609234163), np.float64(-0.08258643051352262))"
2.04,"(np.float64(0.0), np.float64(0.10113813386458553), np.float64(-0.08173502401338321))"
2.05,"(np.float64(0.0), np.float64(0.10008461163682943), np.float64(-0.0808836175132438))"
2.06,"(np.float64(0.0), np.float64(0.09903108940907333), np.float64(-0.08003221101310438))"
2.07,"(np.float64(0.0), np.float64(0.09797756718131723), np.float64(-0.07918080451296498))"
2.08,"(np.float64(0.0), np.float64(0.09692404495356115), np.float64(-0.07832939801282558))"
2.09,"(np.float64(0.0), np.float64(0.09587052272580504), np.float64(-0.07747799151268617))"
2.1,"(np.float64(0.0), np.float64(0.09481700049804895), np.float64(-0.07662658501254677))"
2.11,"(np.float64(0.0), np.float64(0.09376347827029284), np.float64(-0.07577517851240735))"
2.12,"(np.float64(0.0), np.float64(0.09270995604253675), np.float64(-0.07492377201226795))"
2.13,"(np.float64(0.0), np.float64(0.09165643381478064), np.float64(-0.07407236551212854))"
2.14,"(np.float64(0.0), np.float64(0.09060291158702453), np.float64(-0.07322095901198912))"
2.15,"(np.float64(0.0), np.float64(0.08954938935926844), np.float64(-0.07236955251184972))"
2.16,"(np.float64(0.0), np.float64(0.08849586713151233), np.float64(-0.0715181460117103))"
2.17,"(np.float64(0.0), np.float64(0.08744234490375624), np.float64(-0.0706667395115709))"
2.18,"(np.float64(0.0), np.float64(0.08638882267600015), np.float64(-0.0698153330114315))"
2.19,"(np.float64(0.0), np.float64(0.08533530044824406), np.float64(-0.06896392651129209))"
2.2,"(np.float64(0.0), np.float64(0.08428177822048795), np.float64(-0.06811252001115269))"
2.21,"(np.float64(0.0), np.float64(0.08322825599273186), np.float64(-0.06726111351101327))"
2.22,"(np.float64(0.0), np.float64(0.08217473376497575), np.float64(-0.06640970701087387))"
2.23,"(np.float64(0.0), np.float64(0.08112121153721966), np.float64(-0.06555830051073445))"
2.24,"(np.float64(0.0), np.float64(0.08006768930946355), np.float64(-0.06470689401059504))"
2.25,"(np.float64(0.0), np.float64(0.07901416708170744), np.float64(-0.06385548751045564))"
2.26,"(np.float64(0.0), np.float64(0.07796064485395135), np.float64(-0.06300408101031622))"
2.27,"(np.float64(0.0), np.float64(0.07690712262619524), np.float64(-0.062152674510176815))"
